region,median,lower_90,upper_90,lower_50,upper_50,confidence
Thuringia,44,34,54,37,46,1
Thuringia,44,33,53,39,47,1
Thuringia,43,32,52,36,44,1
Thuringia,42,32,51,36,44,1
Thuringia,42,30,51,36,44,1
Thuringia,42,32,52,37,45,1
Thuringia,44,34,54,37,45,1
Thuringia,44,35,54,39,47,1
Thuringia,45,34,54,39,47,1
Thuringia,45,33,54,40,48,1
Thuringia,44,33,53,39,47,1
Thuringia,43,35,55,37,45,1
Thuringia,43,33,53,37,45,1
Thuringia,42,31,52,36,44,1
Thuringia,42,29,50,37,45,0.99
Thuringia,40,29,50,35,43,0.99
Thuringia,39,30,48,34,41,0.99
Thuringia,37,27,46,32,39,0.99
Thuringia,35,26,45,31,38,0.99
Thuringia,35,27,45,31,38,0.98
Thuringia,34,24,42,29,36,0.98
Thuringia,33,23,41,27,34,0.97
Thuringia,32,21,40,27,34,0.97
Thuringia,31,21,38,26,33,0.96
Thuringia,30,20,37,24,31,0.95
Thuringia,29,21,39,25,32,0.93
Thuringia,30,20,38,25,32,0.91
Thuringia,31,21,39,26,33,0.89
Thuringia,32,22,42,26,34,0.86
Thuringia,31,22,43,27,35,0.82
Thuringia,31,18,43,24,33,0.77
Thuringia,31,16,45,22,33,0.71
Thuringia,32,14,52,21,34,0.63
